HIP,RA_deg,Dec_deg,Vmag,BV
512,1.53776681,-29.15139035,7.9000,-0.0300
513,1.54746485,87.88938595,8.9400,1.0000
514,1.54892826,-23.53856546,9.8200,0.4180
515,1.55483056,-1.88705095,8.6900,0.5090
516,1.55910676,-32.81635348,8.5700,1.6120
517,1.56378577,-55.49869634,8.8900,0.4760
518,1.56474395,58.43668966,5.9800,0.6870
519,1.57000983,-64.24051492,7.9200,0.4590
520,1.57055075,-10.77847003,7.6000,1.5390
521,1.57776022,-1.23801760,8.2200,1.2200
522,1.57776340,-49.07509405,5.7000,0.5190
523,1.57876020,-65.83919547,12.1700,1.5500
524,1.58300753,-12.01719883,8.7500,0.4870
525,1.58393383,40.89871965,6.9300,1.0860
526,1.58409669,60.45712221,7.9700,0.2560
527,1.58655035,68.63612309,8.0600,1.4310
528,1.59090838,-24.60254997,10.1300,0.5930
529,1.60400514,-18.03825665,7.3100,0.4020
530,1.60817878,42.75275856,8.3500,0.6240
531,1.61052855,64.19616859,5.5700,-0.0230
532,1.61191859,-74.40111182,9.8500,0.5260
533,1.61287384,-16.73761149,9.1600,1.0450
534,1.61464392,-52.93312701,9.0300,1.3490
535,1.61846773,-43.62772225,10.0700,0.5900
536,1.62196859,27.09013496,9.7600,1.3900
537,1.63047980,-21.50128389,9.3500,0.4100
538,1.63200384,5.82530112,10.9500,1.0080
539,1.64150277,43.78227474,8.8700,0.4260
540,1.64810682,28.55343687,6.6800,0.9860
541,1.64849601,-47.58474443,9.6900,0.5780
542,1.64950882,56.51450029,8.0500,0.1120
543,1.65072541,-25.29566618,10.3000,0.5060
544,1.65221045,29.02193518,6.0700,0.7520
545,1.66031971,33.65427137,8.5100,1.1070
546,1.66184341,-36.08467578,7.7100,1.0380
547,1.66505810,-24.62067192,8.5600,0.5480
548,1.66696429,70.16926509,8.2600,1.2330
549,1.67070715,65.58769959,11.5500,0.4900
550,1.67432667,56.32466451,8.6200,0.1480
551,1.68263710,8.65733696,10.9200,0.7920
552,1.68869427,-6.26131902,10.5100,0.7590
553,1.69021404,-21.09148372,9.8300,0.5870
554,1.69303391,-13.74868727,9.8400,0.6900
555,1.69415329,10.06899229,9.7400,0.4940
556,1.69557460,-4.34981191,8.2100,0.5740
557,1.69574083,23.49381547,8.7200,0.4100
558,1.69675999,-70.58944075,8.0300,1.6310
559,1.69982422,44.61284407,9.0000,-0.0900
560,1.70843563,-23.10742543,6.1900,0.3860
561,1.70960701,68.16712552,11.7900,0.7100
562,1.71097517,20.55974087,8.2200,0.9510
563,1.71117886,31.13044847,7.9300,1.1070
564,1.71380391,-45.86393212,10.1800,0.5800
565,1.71801703,1.86101143,8.9800,0.5670
566,1.71819731,49.38212406,9.1300,1.1250
567,1.72206966,-38.87768936,6.9100,1.1230
568,1.72236956,-55.16079775,8.7900,1.2340
569,1.72480379,-3.62572272,8.2300,0.5800
571,1.73226563,-30.60308180,10.2400,0.4020
